brand,canonicalProductName,alias
Planmeca,Planmeca Compact i5,Compact i5
Planmeca,Planmeca Compact i5,Compact i 5
Planmeca,Planmeca Compact i5,Planmeca Compact i5 dental unit
Planmeca,Planmeca Pro50,Pro50
Planmeca,Planmeca Pro50,Pro 50
Planmeca,Planmeca Pro50,Planmeca Pro50 dental unit
Planmeca,Planmeca Viso G3,Viso G3
Planmeca,Planmeca Viso G3,Viso G 3
Planmeca,Planmeca Viso G3,Planmeca Viso G3 CBCT
Planmeca,Planmeca ProMax 2D,ProMax 2D
Planmeca,Planmeca ProMax 2D,ProMax 2D S2
Planmeca,Planmeca ProMax 2D,ProMax 2D S3
Planmeca,Planmeca Emerald S,Emerald S
Planmeca,Planmeca Emerald S,Planmeca Emerald S scanner
Planmeca,Planmeca PlanMill 35,PlanMill 35
Planmeca,Planmeca PlanMill 35,PlanMill 35 S
NSK,NSK Ti-Max Z990,Ti-Max Z990
NSK,NSK Ti-Max Z990,Ti Max Z990
NSK,NSK Ti-Max Z990,Z990L
NSK,NSK Ti-Max Z990,Z990KL
NSK,NSK Ti-Max Z990,Z990ML
NSK,NSK Ti-Max Z990,Z990YL
NSK,NSK Ti-Max Z990,Z990FL
NSK,NSK Ti-Max Z990,Z990SL
NSK,NSK S-Max M900,S-Max M900
NSK,NSK S-Max M900,S Max M900
NSK,NSK S-Max M900,M900L
NSK,NSK S-Max M900,M900KL
NSK,NSK S-Max M900,M900ML
NSK,NSK S-Max M900,M900YL
NSK,NSK S-Max M900,M900FL
NSK,NSK S-Max M900,M900SL
NSK,NSK Varios 970,Varios 970
NSK,NSK Varios 970,VA970
NSK,NSK Varios 970,VA970 LUX Ti
NSK,NSK Varios Combi Pro2,Varios Combi Pro2
NSK,NSK Varios Combi Pro2,Varios Combi Pro 2
NSK,NSK Varios Combi Pro2,VCP2
NSK,NSK Surgic Pro2,Surgic Pro2
NSK,NSK Surgic Pro2,Surgic Pro 2
NSK,NSK Surgic Pro2,SP2
NSK,NSK VarioSurg 4,VarioSurg 4
NSK,NSK VarioSurg 4,Vario Surg 4
NSK,NSK VarioSurg 4,VS4
NSK,NSK ENDO-MATE TC2,ENDO-MATE TC2
NSK,NSK ENDO-MATE TC2,ENDO MATE TC2
NSK,NSK ENDO-MATE TC2,EndoMate TC2
NSK,NSK iPex II,iPex II
NSK,NSK iPex II,iPex 2
NSK,NSK iPex II,iPexII
NSK,NSK iCare,iCare
NSK,NSK iCare,NSK i-Care
Ivoclar,Ivoclar Tetric Prime,Tetric Prime
Ivoclar,Ivoclar Tetric Prime,TetricPrime
Ivoclar,Ivoclar Variolink Esthetic,Variolink Esthetic
Ivoclar,Ivoclar Variolink Esthetic,Variolink Esthetic DC
Ivoclar,Ivoclar Variolink Esthetic,Variolink Esthetic LC
Tokuyama Dental,Tokuyama Palfique Omnichroma,Palfique Omnichroma
Tokuyama Dental,Tokuyama Palfique Omnichroma,Omnichroma
Tokuyama Dental,Tokuyama Palfique Omnichroma,Tokuyama Omnichroma
Tokuyama Dental,Tokuyama Estelite Posterior,Estelite Posterior
Tokuyama Dental,Tokuyama Estelite Posterior,Estelite Posterior PA1
Tokuyama Dental,Tokuyama Estelite Posterior,Estelite Posterior PA2
Tokuyama Dental,Tokuyama Estelite Posterior,Estelite Posterior PA3
Tokuyama Dental,Tokuyama Estelite Posterior,Estelite Posterior PCE
Tokuyama Dental,Tokuyama Palfique Universal Bond,Palfique Universal Bond
Tokuyama Dental,Tokuyama Palfique Universal Bond,Tokuyama Universal Bond II
Tokuyama Dental,Tokuyama Palfique Universal Bond,Universal Bond II
Tokuyama Dental,Tokuyama Shield Force Plus,Shield Force Plus
Tokuyama Dental,Tokuyama Shield Force Plus,Tokuyama Shield Force Plus
Solventum,3M Filtek Universal Restorative,Filtek Universal Restorative
Solventum,3M Filtek Universal Restorative,Filtek Universal
Solventum,3M Filtek Universal Restorative,3M Filtek Universal
Solventum,3M Filtek Universal Restorative,Filtek Universal 6550-CK
Solventum,3M Filtek Universal Restorative,6550CK
Solventum,3M Filtek One Bulk Fill Restorative,Filtek One Bulk Fill
Solventum,3M Filtek One Bulk Fill Restorative,3M Filtek One
Solventum,3M Filtek One Bulk Fill Restorative,Filtek One 4866
Solventum,3M Filtek One Bulk Fill Restorative,Filtek One 4867
Solventum,3M Filtek One Bulk Fill Restorative,4866A1
Solventum,3M Filtek One Bulk Fill Restorative,4866A2
Solventum,3M Filtek One Bulk Fill Restorative,4866A3
Solventum,3M Filtek One Bulk Fill Restorative,4866B1
Solventum,3M Filtek One Bulk Fill Restorative,4866C2
Solventum,3M Filtek One Bulk Fill Restorative,4867A1
Solventum,3M Filtek One Bulk Fill Restorative,4867A2
Solventum,3M Scotchbond Universal Plus Adhesive,Scotchbond Universal Plus
Solventum,3M Scotchbond Universal Plus Adhesive,Scotchbond Universal Plus Adhesive
Solventum,3M Scotchbond Universal Plus Adhesive,SBU Plus
Solventum,3M Scotchbond Universal Plus Adhesive,41293
Solventum,3M Scotchbond Universal Plus Adhesive,41294
Solventum,3M Scotchbond Universal Plus Adhesive,41295
Solventum,3M Scotchbond Universal Plus Adhesive,41297
Solventum,3M Scotchbond Universal Plus Adhesive,41298
Solventum,3M Scotchbond Universal Plus Adhesive,41299
Solventum,3M Scotchbond Universal Plus Adhesive,41304
Solventum,3M RelyX Universal Resin Cement,RelyX Universal
Solventum,3M RelyX Universal Resin Cement,RelyX Universal Resin Cement
Solventum,3M RelyX Universal Resin Cement,3M RelyX Universal
Solventum,3M RelyX Universal Resin Cement,56968
Solventum,3M RelyX Universal Resin Cement,56969
Solventum,3M RelyX Universal Resin Cement,56970
Solventum,3M RelyX Universal Resin Cement,56971
Solventum,3M RelyX Universal Resin Cement,56972
Solventum,3M RelyX Universal Resin Cement,56973
Solventum,3M RelyX Universal Resin Cement,56974
Solventum,3M RelyX Universal Resin Cement,56977
Solventum,3M RelyX Universal Resin Cement,56978
Solventum,3M Clinpro White Varnish,Clinpro White Varnish
Solventum,3M Clinpro White Varnish,Clinpro varnish
Solventum,3M Clinpro White Varnish,Clinpro 12247BL
Solventum,3M Clinpro White Varnish,12247BL
Solventum,3M Clinpro White Varnish,70201420752
Kerr,Kerr Harmonize,Harmonize
Kerr,Kerr Harmonize,Harmonize Universal Composite
Kerr,Kerr Harmonize,Harmonize Intro Kit
Kerr,Kerr Harmonize,Harmonize 36633
Kerr,Kerr Harmonize,36633
Kerr,Kerr Harmonize,36634
Kerr,Kerr Harmonize,36635
Kerr,Kerr OptiBond Universal,OptiBond Universal
Kerr,Kerr OptiBond Universal,Optibond Universal
Kerr,Kerr OptiBond Universal,OptiBond Universal Bottle Kit
Kerr,Kerr OptiBond Universal,OptiBond Universal 36517
Kerr,Kerr OptiBond Universal,36517
Kerr,Kerr OptiBond Universal,36518
Kerr,Kerr OptiBond Universal,36519
Kerr,Kerr SimpliShade Universal Composite,SimpliShade
Kerr,Kerr SimpliShade Universal Composite,Simplishade
Kerr,Kerr SimpliShade Universal Composite,SimpliShade Universal Composite
Kerr,Kerr SimpliShade Universal Composite,SimpliShade Light
Kerr,Kerr SimpliShade Universal Composite,SimpliShade Medium
Kerr,Kerr SimpliShade Universal Composite,SimpliShade Dark
Kerr,Kerr Maxcem Elite Chroma,Maxcem Elite Chroma
Kerr,Kerr Maxcem Elite Chroma,Maxcem Chroma
Kerr,Kerr Maxcem Elite Chroma,Maxcem Elite Chroma Standard Kit
Kerr,Kerr Maxcem Elite Chroma,Maxcem Elite Chroma 36371
Kerr,Kerr Maxcem Elite Chroma,36371
Kerr,Kerr Maxcem Elite Chroma,36372
Kerr,Kerr Maxcem Elite Chroma,36373
Kerr,Kerr Maxcem Elite Chroma,36374
GC,GC G-ænial A'CHORD,G-ænial A'CHORD
GC,GC G-ænial A'CHORD,G-aenial A'CHORD
GC,GC G-ænial A'CHORD,Gaenial Achord
GC,GC G-ænial A'CHORD,G-aenial Achord
GC,GC G-ænial A'CHORD,952258
GC,GC G-ænial A'CHORD,952259
GC,GC G-ænial A'CHORD,952260
GC,GC G-ænial A'CHORD,952261
GC,GC G-ænial A'CHORD,952262
GC,GC G-ænial A'CHORD,952263
GC,GC G-ænial A'CHORD,952264
GC,GC G-ænial A'CHORD,952265
GC,GC G-ænial A'CHORD,952266
GC,GC G-Premio BOND,G-Premio BOND
GC,GC G-Premio BOND,G Premio Bond
GC,GC G-Premio BOND,GC Premio Bond
GC,GC G-Premio BOND,012696
GC,GC G-Premio BOND,012691
GC,GC G-Premio BOND,009276
GC,GC G-Premio BOND,009552
GC,GC G-CEM ONE,G-CEM ONE
GC,GC G-CEM ONE,G CEM ONE
GC,GC G-CEM ONE,GCEM ONE
GC,GC G-CEM ONE,10037117
GC,GC G-CEM ONE,013670
GC,GC G-CEM ONE,013671
GC,GC G-CEM ONE,013672
GC,GC G-CEM ONE,013673
GC,GC G-CEM ONE,013674
GC,GC G-CEM ONE,013675
GC,GC G-CEM ONE,013676
GC,GC FujiCEM Evolve,FujiCEM Evolve
GC,GC FujiCEM Evolve,Fuji Cem Evolve
GC,GC FujiCEM Evolve,GC FujiCEM Evolve
GC,GC FujiCEM Evolve,012948
