brand,canonicalProductName,manufacturerRef,kzStatus,evidenceUrl,lastChecked,notes
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13104,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-154,2026-07-22,Состав локального набора совпадает с официальным набором из трёх шприцев A2 A3 OA3
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13210,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,2026-07-22,Оттенок A1 указан в локальной карточке
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13211,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,2026-07-22,Оттенок A2 указан в локальной карточке
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13212,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,2026-07-22,Оттенок A3 указан в локальной карточке
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13213,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,2026-07-22,Оттенок A3.5 указан в локальной карточке
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13216,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,2026-07-22,Оттенок B1 указан в локальной карточке
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13217,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,2026-07-22,Оттенок B2 указан в локальной карточке
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13223,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,2026-07-22,Оттенок OA1 указан в локальной карточке
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13224,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,2026-07-22,Оттенок OA2 указан в локальной карточке
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13225,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,2026-07-22,Оттенок OA3 указан в локальной карточке
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13226,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,2026-07-22,Оттенок OPA2 указан в локальной карточке
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13227,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,2026-07-22,Оттенок CE указан в локальной карточке
Tokuyama Dental,Tokuyama Estelite Sigma Quick,13228,KZ_SKU_CONFIRMED,https://nordstom.kz/catalog/therapy/light-curing-restorative-materials/item-153,2026-07-22,Оттенок BW указан в локальной карточке
