brand,manufacturer,canonicalProductName,manufacturerRef,sourceAliases,variantLabel,kzStatus,publishedCard,evidenceUrl,lastChecked,notes
DentKist,DentKist,CharmFil Plus,1401588,Универсальный нанокомпозит CharmFil Plus A1 | Универсальный светоотверждаемый рентгеноконтрастный микрогибридный нанокомпозит CharmFil Plus A1-СТОМИР,Шприц · оттенок A1,KZ_CONFIRMATION_REQUIRED,YES,,,Official reference retained; Kazakhstan availability has not been confirmed
DentKist,DentKist,CharmFil Plus,1401589,Универсальный нанокомпозит CharmFil Plus A2 | Универсальный светоотверждаемый рентгеноконтрастный микрогибридный нанокомпозит CharmFil Plus A2-СТОМИР,Шприц · оттенок A2,KZ_CONFIRMATION_REQUIRED,YES,,,Official reference retained; Kazakhstan availability has not been confirmed
DentKist,DentKist,CharmFil Plus,1401590,Универсальный нанокомпозит CharmFil Plus A3 | Универсальный светоотверждаемый рентгеноконтрастный микрогибридный нанокомпозит CharmFil Plus A3-СТОМИР,Шприц · оттенок A3,KZ_CONFIRMATION_REQUIRED,YES,,,Official reference retained; Kazakhstan availability has not been confirmed
LaTus,LaTus,Latelux,1400019,Материал композиционный пломбировочный светоотверждаемый Latelux A1-СТОМИР,Шприц · оттенок A1,KZ_CONFIRMATION_REQUIRED,YES,,,Official reference retained; Kazakhstan availability has not been confirmed
LaTus,LaTus,Latelux,1400020,Материал композиционный пломбировочный светоотверждаемый Latelux A2-СТОМИР,Шприц · оттенок A2,KZ_CONFIRMATION_REQUIRED,YES,,,Official reference retained; Kazakhstan availability has not been confirmed
LaTus,LaTus,Latelux,1400021,Материал композиционный пломбировочный светоотверждаемый Latelux A3-СТОМИР,Шприц · оттенок A3,KZ_CONFIRMATION_REQUIRED,YES,,,Official reference retained; Kazakhstan availability has not been confirmed
LaTus,LaTus,Latelux,1401391,Материал композиционный пломбировочный светоотверждаемый Latelux B1-СТОМИР,Шприц · оттенок B1,KZ_CONFIRMATION_REQUIRED,YES,,,Official reference retained; Kazakhstan availability has not been confirmed
LaTus,LaTus,Latelux,1401392,Материал композиционный пломбировочный светоотверждаемый Latelux B2-СТОМИР,Шприц · оттенок B2,KZ_CONFIRMATION_REQUIRED,YES,,,Official reference retained; Kazakhstan availability has not been confirmed
LaTus,LaTus,Latelux,1401393,Материал композиционный пломбировочный светоотверждаемый Latelux OA2-СТОМИР,Шприц · оттенок OA2,KZ_CONFIRMATION_REQUIRED,YES,,,Official reference retained; Kazakhstan availability has not been confirmed
LaTus,LaTus,Latelux Flow,1400016,Материал Latelux flow A1 | Материал композиционный пломбировочный светоотверждаемый текучий Latelux flow A1-СТОМИР,Шприц · оттенок A1,KZ_CONFIRMATION_REQUIRED,YES,,,Official reference retained; Kazakhstan availability has not been confirmed
LaTus,LaTus,Latelux Flow,1400017,Материал композиционный пломбировочный светоотверждаемый текучий Latelux flow A2-СТОМИР,Шприц · оттенок A2,KZ_CONFIRMATION_REQUIRED,YES,,,Official reference retained; Kazakhstan availability has not been confirmed
